new_index,alpha,beta_mkt,beta_hml,beta_smb,sigma,class
1,-0.006506581,3.048391995,4.075170394,0.961755795,0.01808332,0
2,0.000570308,0.327892252,0.495695298,0.591916143,0.060361675,0
3,0.002369771,1.446593957,-1.835826955,2.102898624,0.018488465,0
4,0.000196688,1.513531606,1.084803843,1.943508388,0.017270138,0
5,-0.00428188,1.451204707,1.867346766,0.592609456,0.020661487,0
6,0.001390035,0.93985363,-3.693345506,0.637055892,0.019174399,0
7,0.004117497,0.078812827,-0.095303927,1.109491793,0.058235513,0
8,-3.43E-05,1.581981163,-0.339907467,-0.080016513,0.015240312,0
9,-0.000915008,1.203432871,-1.314954082,0.193579692,0.012842731,0
10,0.000973724,2.075929477,0.837118542,1.229685287,0.018010535,0
11,0.000201918,2.334416278,3.833653807,2.103401431,0.019643022,1
12,0.00019196,0.850400176,0.358258586,-0.223609425,0.007184536,0
13,-0.001359229,1.447868187,-2.71475439,0.977894744,0.036407223,0
14,-0.000560211,0.433137796,-0.883085473,0.252751402,0.060560865,1
15,0.00080476,-0.015081604,0.06852206,0.263554166,0.02065519,0
16,-0.000721883,1.14776818,0.081755428,-0.147975701,0.007888799,0
17,0.000402524,1.03118992,0.383801383,0.362862903,0.010566604,0
18,0.003452329,0.017842738,-1.770323872,0.647380385,0.035750952,0
19,0.010904731,0.966786506,1.286031846,1.782717179,0.130049072,0
20,0.000240558,2.055349803,-1.553317408,2.920937706,0.03221031,1
21,0.000805976,1.547546666,-1.241854419,1.485996495,0.016408858,0
22,0.00146742,-0.128391829,-1.486791987,0.184365432,0.022600945,1
23,-0.000534606,0.110195717,0.226236656,-0.351219147,0.017119763,0
24,-0.000336181,1.112206165,-0.372332493,1.306213272,0.010846977,0
25,0.001142563,0.820379624,0.403587245,1.588647305,0.013963288,0
26,-0.000864198,1.047352665,0.596145106,0.63519947,0.005768086,0
27,0.001980143,1.990157502,5.099695328,0.258591038,0.017514742,0
28,-0.004101774,-0.066424226,0.486911805,0.16320591,0.036529292,0
29,-0.000138001,1.017081624,0.950842416,0.012153287,0.006566108,0
30,0.000120827,1.985572756,-0.575545384,1.764505977,0.012348725,1
31,0.002030861,1.458811344,0.690669286,2.634314405,0.02398026,0
32,0.001403734,-0.241886006,-0.813694823,-0.402265899,0.014352954,0
33,-0.001551021,1.450731293,-2.496606123,-2.905653756,0.032948534,0
34,0.038389208,-1.407369612,-0.866940978,3.064527655,0.19680695,0
35,0.000312356,1.39625174,0.597028552,-1.288440968,0.017991595,1
36,-0.000530295,0.858861532,0.178144255,-0.007799522,0.007405561,0
37,-0.062935007,0.426336246,0.329125776,0.505173195,0.021774524,0
38,0.003993421,-0.003353765,-0.06613998,-0.272134808,0.027389833,0
39,0.001978347,1.505888536,-0.360493804,1.056633432,0.027261103,0
40,0.002541303,1.3232762,-0.130499731,-0.438662125,0.012751972,0
41,-0.062043652,0.301585409,0.589461986,1.53431739,0.026710348,1
42,0.00027028,0.750885834,-0.205943074,1.58620082,0.01564323,0
43,0.000593409,1.786059074,0.654673715,3.669683804,0.038784212,0
44,-0.002820077,2.0342794,2.146183119,2.145877542,0.021626354,0
45,0.039720693,0.655397265,-0.828785744,0.699474099,0.246509545,0
46,-0.020241219,0.627024785,0.586704364,0.524110084,0.009801886,1
47,0.003356499,2.295181778,3.226897432,3.283998347,0.020809696,0
48,7.23E-05,-0.366394512,2.270824708,1.583003252,0.028045494,0
49,0.00216972,-0.385214192,-0.464214695,-0.033145774,0.025547865,0
50,0.000401599,1.677448307,-0.531945677,0.492318686,0.015267508,0
51,-0.020606202,0.762222958,0.65316094,0.888970839,0.010001331,1
52,-0.001630218,1.06125132,0.880722622,1.338995732,0.006577229,0
53,-0.001517138,-0.185324958,0.154390399,-0.45478748,0.018399697,1
54,-0.001052337,0.822052576,0.055622975,0.88332073,0.013069798,0
55,-0.000461471,-0.135438103,0.327630847,-0.290655954,0.013576071,0
56,0.000326128,1.168456162,0.973861423,0.927356699,0.014071647,0
57,0.006036819,1.24267441,0.737658453,-1.824026164,0.037251814,0
58,0.003137878,0.23973867,0.313815803,0.835685231,0.030242056,0
59,0.001818274,-0.016838631,0.441531864,-0.028353189,0.041626265,1
60,0.029247013,0.48242939,0.287604587,2.251784942,0.16819659,1
61,0.000428824,0.757351333,0.713485667,-0.118334661,0.006926037,0
62,-0.001057126,-0.230814769,-0.296401481,0.12051389,0.016623084,0
63,-0.000399012,-0.422598081,0.812657218,-0.074906195,0.020643072,0
64,0.002681226,2.289578395,-1.300993752,1.810038399,0.019300936,0
65,-0.079832714,-0.341645192,-0.61094046,0.27089994,0.028988768,0
66,0.000109196,2.267160993,2.855638138,0.622132304,0.013807444,1
67,-3.22E-05,0.840042353,1.155153522,-0.613734616,0.008212612,0
68,-4.86E-05,-0.021165165,0.066942391,0.060933632,0.006242266,0
69,5.05E-05,1.290047361,-0.294907362,-0.406180904,0.00792841,0
70,0.00335515,1.698274521,-0.591281318,0.675636397,0.024824432,0
71,-0.00068015,0.223745352,-0.180429369,-0.046329848,0.036117868,1
72,0.000125365,0.352856735,0.166318549,0.130933337,0.005935449,0
73,0.000713124,1.734449225,3.509092457,3.079948357,0.021868467,1
74,0.000904518,1.007524199,-0.225209424,-0.575703258,0.011965418,0
75,-0.005889759,4.250838587,3.559368968,2.842065579,0.057130223,0
76,0.0029181,1.747241906,-4.232098859,1.266970727,0.046546654,0
77,0.001116469,1.573613832,0.216051397,0.37402512,0.017221962,0
78,-0.00194773,-0.325843016,-0.227076299,-0.616599759,0.020812525,1
79,0.000621081,1.351407516,0.646708163,0.558308432,0.012248336,0
80,-0.003282081,1.71300881,1.588937962,1.882644117,0.018910185,0
81,0.000863285,1.534780998,0.007440972,-0.389258979,0.013178746,0
82,2.37E-05,0.810505535,-0.990188148,0.639724937,0.015936093,0
83,0.00360175,0.354934613,0.026711692,-1.491654937,0.069513243,0
84,-0.000137767,0.898473685,0.372939385,0.704885302,0.007458339,0
85,-0.000353738,1.036799576,1.00821597,0.034357486,0.006974842,0
86,-0.001746424,1.347691098,0.027645819,0.954891339,0.009828813,1
87,-0.000294909,1.501609699,1.32408786,0.759264835,0.014757278,0
88,0.002666314,-0.149816018,0.285727334,0.034640416,0.021302306,0
89,0.002058214,2.231428173,-1.510062898,1.745863789,0.021417666,0
90,0.116890663,2.051794471,1.59342435,3.217964589,0.271981606,0
91,0.003494597,2.117819023,1.57715219,2.786718577,0.034025738,0
92,-0.000284042,1.160075885,-0.646000158,0.204146643,0.015090349,0
93,0.098926227,-2.389628253,-2.759468975,4.853872213,0.337293144,0
94,-0.000597622,-0.026470485,-0.178819296,-0.442224583,0.009897705,0
95,-0.000176831,0.776504712,1.854446785,1.073899819,0.01382417,0
96,-0.001055854,2.229615894,-0.320389244,2.145505149,0.027419095,1
97,0.00452967,5.650324378,4.660391666,1.558548386,0.059245558,0
98,0.001636078,1.972629093,-1.820404354,2.420179199,0.030411162,0
99,0.00066705,1.728011325,1.624504463,2.280822304,0.018769848,0
100,-0.0011306,1.464378536,0.426514848,1.686415414,0.009788669,0
101,0.001005582,1.244653455,1.140272275,1.811595617,0.020354291,0
102,-0.000614309,1.400635957,0.721232802,0.942375535,0.017108769,0
103,-0.001888264,-0.151867671,0.07013956,-0.337293313,0.019448716,0
104,0.014031891,0.989766589,-1.115691134,-1.725067779,0.048277906,0
105,-0.001093765,1.424895408,0.312862913,1.139441473,0.00751153,0
106,-6.21E-05,0.011185931,0.095407102,-0.029485667,0.007330645,0
107,0.001093504,1.175462759,1.137084842,2.536293354,0.030663909,1
108,0.001049889,1.301601977,-3.342841286,1.576319264,0.022345127,0
109,0.000629727,2.084669901,0.367209533,2.856391361,0.038577726,0
110,-0.003437419,-0.261974402,-0.167404883,0.736782296,0.02962246,0
111,-0.001576935,1.886881686,1.139224781,-0.263220718,0.013840396,0
112,0.002322401,1.415142714,0.451399828,-1.929418925,0.041283584,1
113,0.009946567,0.137875274,0.141030729,-1.120640719,0.03783699,0
114,0.005612748,2.856112368,-0.566659575,0.796767047,0.060551127,0
115,-0.001291091,5.606995826,4.742316206,3.29896053,0.050009183,0
116,0.000766867,1.129164421,0.150172055,-0.427312625,0.012390072,0
117,0.006939408,2.500550014,4.864348586,1.565853326,0.027117826,0
118,0.002919892,1.295916292,-0.464387815,-0.666357127,0.013834805,0
119,-0.001940285,2.096185689,-0.633911536,1.289077254,0.020562673,0
120,0.028560702,0.124191719,-1.859822959,1.566614893,0.168671778,1
121,-0.028851415,0.315535997,-0.023974401,0.331615075,0.012536095,0
122,-6.50E-05,0.000710758,0.001298101,0.001324726,0.00079588,0
123,-0.000827359,1.187751224,2.544979532,-0.203523421,0.01572384,0
124,-0.000108226,0.016765464,0.014909685,0.021613401,0.002183147,0
125,0.00150694,-0.633506084,-0.579212974,0.111048705,0.017376276,1
126,6.36E-05,0.935180815,0.746708673,0.585113732,0.01139801,0
127,-0.000207192,0.843569222,-0.369765756,0.474585792,0.007433571,0
128,-0.000100708,1.491438592,0.078119535,1.577747885,0.013985781,0
129,-0.001663764,1.616480917,-2.301634688,0.262176393,0.013546789,0
130,-0.000621458,0.985903745,0.695788266,0.416521301,0.010903076,0
131,0.003680264,-0.229748619,0.532415712,0.032746974,0.066787816,0
132,-0.001616243,2.69018789,1.861870654,1.68772273,0.028222146,0
133,-0.000107192,0.878651636,-1.817340935,0.640313937,0.014357814,0
134,0.000606216,2.424546143,0.253001295,2.966492736,0.028724675,0
135,0.003378917,-0.661099929,-0.762495427,-0.183582455,0.024011279,0
136,0.003202151,-0.229248608,0.453187601,-0.382844059,0.04710621,0
137,-0.004335624,2.501420562,1.497006269,3.486164243,0.024728411,0
138,0.031367759,2.49672693,1.919978517,2.809025523,0.247184613,0
139,-0.000382629,-0.003861473,-0.015769887,0.068375859,0.007160463,1
140,0.007354824,1.524897565,1.527928845,1.30426096,0.035258101,0
141,0.005199303,-1.145105616,-3.076555725,-3.441847935,0.079825753,1
142,-0.00023351,0.90106585,-0.631923384,0.626409868,0.012679581,0
143,-0.000214542,1.817366236,1.89578343,3.996574538,0.055570653,0
144,0.000385536,1.110809077,1.089343741,-0.352388573,0.011963874,0
145,0.002894506,1.58980193,-1.622791741,1.794413132,0.019841266,0
146,-0.002042953,0.866539179,-0.697045561,-1.883290296,0.036657382,1
147,0.001353549,-0.574667978,0.012796161,-0.544642006,0.027746501,0
148,-0.000760511,1.53138703,-0.604839012,2.762427458,0.016940917,0
149,-6.91E-05,0.005972853,0.31710476,0.122155565,0.011973446,1
150,0.004514366,-0.074095498,0.411378626,-0.938785414,0.052797694,1
151,-0.004196688,1.561816502,2.219845353,1.632395246,0.019597844,1
152,0.000473432,1.357590932,0.825988237,1.430803467,0.011642416,0
153,0.003639875,-0.241796273,0.098989406,-0.535734953,0.026034757,0
154,-0.021590535,0.892268047,-0.567998903,0.523240596,0.011153376,1
155,5.29E-05,1.051067747,-0.474567621,0.115254475,0.008178767,0
156,-0.000792866,0.400169769,0.902199315,-0.167618331,0.022594966,0
157,-0.001735812,0.694119654,-0.31815388,0.369336511,0.015481934,0
158,-0.001403672,1.483757705,-0.830346392,0.466904411,0.015179199,0
159,0.000522292,3.373331961,0.449727769,3.253818308,0.035568291,0
160,0.016808397,1.136887132,-0.418206729,2.014103566,0.136564552,0
161,-4.60E-05,-0.261182355,0.044887802,-0.707636102,0.034345547,1
162,0.000225401,0.020994826,0.582091557,0.861770003,0.033352985,0
163,-0.00092729,1.52348956,-0.610087783,0.141731597,0.022723414,0
164,-0.000735994,0.793759834,0.041921141,1.014040674,0.014441465,0
165,0.006689816,-0.094110474,-0.687140679,-0.746808104,0.067168761,1
166,0.001500722,1.088407054,0.327014129,0.915561977,0.123330089,0
167,-0.062508208,0.799831779,0.709300025,0.652074858,0.022745762,1
168,0.000896331,0.807344687,0.611257057,0.6903157,0.014588892,0
169,0.000544181,-0.571012655,-0.274294791,0.143188992,0.021754999,0
170,0.002060206,2.256439245,0.947432747,3.009305136,0.026563937,1
171,-0.001421907,2.025394633,-1.312533209,0.568286085,0.016303778,0
172,-0.001152316,0.169028253,-0.079594033,-0.04425354,0.009498924,0
173,-0.000346436,0.394349697,0.264232988,0.519936751,0.009733828,0
174,-0.000563592,0.812735319,0.253600796,0.194699375,0.00532658,0
175,-6.31E-05,0.060625128,0.068959305,0.042078582,0.007276568,0
176,0.006525118,-0.102534155,-3.196495016,-0.596981975,0.031502366,1
177,-0.000175228,0.784744109,-0.032100576,-0.055326702,0.009506881,0
178,-0.000835157,-0.00294893,0.088432709,0.040274717,0.010858131,0
179,0.003613668,1.600401239,-0.910863205,1.13518171,0.018686931,0
180,0.001542029,-0.95461537,-0.86890242,1.085868908,0.015254277,1
