week_index,group,alpha,beta_mkt,beta_hml,beta_smb,sigma,week_return1,week_return4,week_return13
1,1,0.116890663,2.051794471,1.59342435,3.217964589,0.271981606,0.892801458,0.900921412,0.895642681
1,2,0.033864145,3.903704911,3.15360026,5.176310726,0.099884148,0.886808584,0.875238469,0.886577712
1,3,0.006197137,1.664316859,1.51546261,-1.033946972,0.033167697,1.013197713,1.030153073,1.029920291
1,4,0.010428822,2.791942428,0.975733579,3.032680154,0.068874661,0.85554422,0.842336551,0.846865165
1,5,0.005180575,2.382341911,3.754779454,1.944672887,0.03496367,1.029054261,1.036370772,1.02284441
1,6,0.015828901,0.12507392,1.126782608,0.802142554,0.108948233,0.977428115,0.964133866,0.997844923
1,7,0.005272857,0.725278396,1.851199025,0.988506572,0.046013107,0.961786805,0.952551855,0.97047011
1,8,0.006520365,2.724018695,2.074522019,2.951117966,0.058339888,0.831445024,0.840342456,0.85645981
1,9,0.003305248,2.718963379,2.832243741,2.83958431,0.05313998,0.924275284,0.915640172,0.905690031
1,10,0.004363801,-0.396382738,-0.340478328,-0.873338426,0.082435842,0.958566258,0.977424589,0.9640447
1,11,0.002782749,-1.419990786,-1.577163815,-0.852979785,0.055237863,1.032805159,1.031108607,1.019116589
1,12,0.000810805,0.923351611,1.454901031,0.613547422,0.026754059,1.001499491,1.014969438,1.007789698
1,13,0.000958833,1.833448918,-0.982865108,0.300169195,0.032465385,0.918279924,0.921480071,0.898420864
1,14,0.001820417,-0.029557656,-0.35929371,0.337405137,0.071012609,0.954728066,0.93338471,0.950542863
1,15,0.000307661,-0.586531233,-0.662323082,-0.325746152,0.03662169,0.991516888,0.983153535,0.988357022
1,16,0.000150545,0.997432751,0.676193425,-1.037918905,0.020894121,1.031823345,1.043708449,1.043407051
1,17,-0.000758507,0.311302809,0.281950838,0.201964981,0.030382508,1.026217045,1.011423053,1.006739133
1,18,-0.00077336,0.141853814,-0.078590179,-0.057939733,0.029051136,0.982731881,1.005609867,0.998663646
1,19,-0.001231753,-0.699461619,-1.101348647,-0.358702005,0.031414023,0.963968275,0.983455852,0.98364462
1,20,-0.000905012,0.122073562,0.079033568,0.02942629,0.009607697,1.005649541,1.00772995,1.004218489
1,21,-0.001766377,-0.212652343,-0.352763161,-0.131057566,0.018602767,1.014684284,1.0008002,0.99927143
1,22,-0.001732801,0.593780521,0.624525463,0.01064639,0.018045117,1.022288147,1.023065745,1.02181634
1,23,-0.00186969,0.749869574,0.738706685,0.506170667,0.017469484,1.020472971,1.004398364,1.008699649
1,24,-0.001863721,0.794187955,0.706677327,-0.389613467,0.016435358,1.032128889,1.031531189,1.02461549
1,25,-0.003069125,1.406625076,0.727867227,0.77339857,0.025115348,0.954899722,0.981732268,0.978297564
1,26,-0.006441111,1.646379325,-0.42044503,1.831403151,0.040153111,0.892102434,0.922805901,0.912138647
1,27,-0.005060464,1.246721787,0.425443075,1.049343919,0.02480898,0.901570656,0.921838056,0.926184552
1,28,-0.000205033,0.000370488,0.00057402,0.000240283,0.000481151,0.95742453,0.968868314,0.950783485
1,29,-0.058109485,0.368852931,0.187592615,0.240814182,0.021243233,0.866112668,0.856551321,0.887520029
1,30,-0.026995728,0.122915542,0.133562144,0.090728281,0.009807133,0.964690205,0.946324615,0.980558722
2,1,0.113112028,1.307318526,0.108827651,2.529617937,0.269733171,0.995962995,0.979609273,0.980271265
2,2,0.032165516,3.70670622,2.898552327,5.091239884,0.094244797,0.911167573,0.915516221,0.923123162
2,3,0.009085058,2.783137411,4.796957147,2.42664966,0.042571596,0.938184908,0.939531033,0.952207087
2,4,0.005117703,1.518504737,1.217506173,-1.164484936,0.029426103,0.936057786,0.932409802,0.925320933
2,5,0.018809174,0.032380656,0.471500037,0.723257751,0.112977445,0.944690875,0.964495179,0.926639218
2,6,0.005225297,0.005258256,0.37309458,0.208854283,0.039943077,0.941215821,0.951325639,0.955111326
2,7,0.005969091,-0.374608155,-0.212771112,0.131689139,0.056548709,0.947980623,0.963885513,0.967466995
2,8,0.006234039,2.752518673,0.936928812,3.124189903,0.061254914,1.05005029,1.000883872,0.998199336
2,9,0.007741112,1.211178803,1.141398761,0.626368814,0.083607971,0.994111206,0.962046514,0.925581427
2,10,0.002874122,1.387255094,2.032599024,1.022248086,0.0327969,0.959490489,0.966081413,0.967249555
2,11,0.005793736,-1.389178656,-2.026306423,-1.317911386,0.070400463,0.929284424,0.903040039,0.893926417
2,12,0.004749658,1.090487371,0.020976405,1.695867799,0.060589267,0.887986698,0.907375977,0.916056333
2,13,0.002112294,1.784005653,-0.670875979,0.225406439,0.030316072,1.01378818,1.014175576,1.01155623
2,14,0.001944143,-0.752287141,-0.947856887,-0.363855236,0.038208207,0.979553038,0.964481922,0.973433608
2,15,0.000666805,-1.128149116,-1.62157182,-0.561133401,0.031940905,0.965185975,0.973405232,0.977022698
2,16,0.000462944,2.380463398,0.893499421,2.389869941,0.043067236,1.06953631,1.045318077,1.050848074
2,17,5.84E-05,0.547364882,0.808592979,0.422837465,0.019683038,1.010730456,1.010611812,1.004078806
2,18,-1.25E-05,0.51255876,0.38687754,0.154903605,0.025277329,0.980064884,0.984501611,0.990872778
2,19,-4.42E-05,0.202782643,0.157142702,0.024920132,0.017447419,0.972804139,0.975523072,0.985311222
2,20,-0.00020484,0.841460245,0.397127076,-1.043668057,0.019720295,0.93201446,0.936879419,0.937157253
2,21,-0.000478531,0.757080827,0.514539812,0.122202033,0.027211137,0.96691671,0.976150704,0.976066662
2,22,-0.000457146,0.108968436,0.089071217,0.027179534,0.009513191,1.003319362,1.002944629,1.000709062
2,23,-0.001228517,0.770625284,0.859240559,-0.225675909,0.015935255,0.991613461,0.986920536,0.988219277
2,24,-0.001710399,0.879575765,0.443082258,0.389838551,0.020397563,0.992933234,0.978075863,0.984918273
2,25,-0.002218306,1.438715642,0.807026484,1.14358477,0.023026045,1.014665682,1.008224795,0.985523146
2,26,-0.011029831,1.501793101,0.379593461,1.64191947,0.034584837,1.042077193,0.979528377,0.961175931
2,27,-0.000208019,5.69E-05,-0.000192242,-8.61E-06,0.000481724,0.971246333,1.02298864,0.989634482
2,28,-0.06589024,0.31438393,-0.003883185,0.15433866,0.024501258,1.005404128,0.997827274,0.984843923
2,29,-0.019093184,0.050114834,0.079484747,0.05513042,0.006874965,0.947037583,0.956504335,0.958159456
2,30,-0.037671653,0.173729165,0.075466121,0.058993101,0.012676201,0.993549386,0.989843069,0.975464388
3,1,0.111546599,2.885639059,1.533195721,3.640577286,0.272958338,0.912646933,0.892887059,0.90217774
3,2,0.013872682,1.560455738,0.684891512,-1.029804522,0.04530391,1.041935968,1.04093163,1.022779438
3,3,0.02912817,4.657783685,5.750365476,6.748626957,0.095247288,0.948887486,0.943991142,0.954964974
3,4,0.012820438,2.677287202,5.290900349,3.084166087,0.04626752,1.050050824,1.037385059,1.033797196
3,5,0.015667569,1.939829629,-2.776066216,0.726988166,0.073348262,0.917691542,0.941783035,0.953953142
